article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total,sum_1_m
Moskva023,/moskva/severo-zapadnyy-ao,Moskva,Severo-Zapadnyj AO,Severo-Zapadnyj AO,/moskva/volokolamskoye-shosse-122,3,6,1440,720,Volokolamskoe shosse; 122,373282,5,1728,14,53477415,Tsifrovoj bilbord,26663.0,421.28,3.086,0.049,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10734.73,1001346,93.28,16494.21,694.44,1.31,693.14,8743678.25,916.35
Moskva024,/moskva/severo-zapadnyy-ao,Moskva,Severo-Zapadnyj AO,Severo-Zapadnyj AO,/moskva/volokolamskoye-shosse-79,3,6,1440,720,Volokolamskoe shosse; 79,350812,5,1728,14,53477415,Tsifrovoj bilbord,25058.0,395.92,2.9,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10734.73,1001346,93.28,16494.21,694.44,1.39,693.06,8215344.91,916.35
Moskva025,/moskva/severo-zapadnyy-ao,Moskva,Severo-Zapadnyj AO,Severo-Zapadnyj AO,/moskva/volokolamskoye-shosse-86-88,3,6,1440,720,Volokolamskoe shosse; 86-88,373994,5,1728,14,53477415,Tsifrovoj bilbord,26713.86,422.08,3.092,0.049,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10734.73,1001346,93.28,16494.21,694.44,1.3,693.14,8760344.91,916.35
Moskva026,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/vorobyevskoye-shosse-2-b,3,6,1440,720,Vorob'evskoe shosse; 2 B,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva027,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/gospitalnaya-naberezhnaya,3,6,1440,720,Gospital'naja naberezhnaja,330609,5,1728,14,53477415,Tsifrovoj bilbord,23614.93,373.12,2.733,0.043,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.47,692.97,7740344.91,916.35
Moskva028,/moskva/timiryazevskiy,Moskva,Severnyj AO,Timirjazevskij,/moskva/dmitrovskoye-shosse-11,3,6,1440,720,Dmitrovskoe shosse; 11,369539,5,1728,14,53477415,Tsifrovoj bilbord,26395.64,417.05,3.055,0.048,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.32,693.13,8655553.25,916.35
Moskva029,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/dmitrovskoye-shosse-110,3,6,1440,720,Dmitrovskoe shosse; 110,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva030,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/dmitrovskoye-shosse-153-tsrp,3,6,1440,720,Dmitrovskoe shosse; 153 (TsRP),245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva031,/moskva/timiryazevskiy,Moskva,Severnyj AO,Timirjazevskij,/moskva/dmitrovskoye-shosse-29,3,6,1440,720,Dmitrovskoe shosse; 29,285585,5,1728,14,53477415,Tsifrovoj bilbord,20398.93,322.3,2.361,0.037,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.71,692.74,6681594.91,916.35
Moskva032,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/dmitrovskoye-shosse-80-85-tsrp,3,6,1440,720,Dmitrovskoe shosse; 80-85 (TsRP),299795,5,1728,14,53477415,Tsifrovoj bilbord,21413.93,338.34,2.478,0.039,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.63,692.82,7015761.58,916.35
Moskva033,/moskva/khoroshevo-mnevniki,Moskva,Severo-Zapadnyj AO,Horoshevo-Mnevniki,/moskva/zhukova-marshala-4,3,6,1440,720,Zhukova Marshala; 4,275104,5,1728,14,53477415,Tsifrovoj bilbord,19650.29,310.47,2.274,0.036,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10734.73,1001346,93.28,16494.21,694.44,1.77,692.67,6435136.58,916.35
Moskva034,/moskva/khoroshevo-mnevniki,Moskva,Severo-Zapadnyj AO,Horoshevo-Mnevniki,/moskva/zhukova-marshala-43,3,6,1440,720,Zhukova Marshala; 43,322280,5,1728,14,53477415,Tsifrovoj bilbord,23020.0,363.72,2.664,0.042,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10734.73,1001346,93.28,16494.21,694.44,1.51,692.93,7544511.58,916.35
Moskva035,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/zvenigorodskoye-shosse,3,6,1440,720,Zvenigorodskoe shosse,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva036,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/zvenigorodskoye-shosse-13,3,6,1440,720,Zvenigorodskoe shosse; 13,279635,5,1728,14,53477415,Tsifrovoj bilbord,19973.93,315.59,2.312,0.037,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.74,692.7,6541803.25,916.35
Moskva037,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/zvenigorodskoye-shosse-26,3,6,1440,720,Zvenigorodskoe shosse; 26,250398,5,1728,14,53477415,Tsifrovoj bilbord,17885.57,282.59,2.07,0.033,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.95,692.5,5854303.25,916.35
Moskva038,/moskva/perovo,Moskva,Vostochnyj AO,Perovo,/moskva/zelenyy-12,3,6,1440,720,Zelenyj; 12,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9790.66,1515942,154.84,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva039,/moskva/novogireyevo,Moskva,Vostochnyj AO,Novogireevo,/moskva/zelenyy-60,3,6,1440,720,Zelenyj; 60,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9790.66,1515942,154.84,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva040,/moskva/yuzhnyy-ao,Moskva,Juzhnyj AO,Juzhnyj AO,/moskva/kashirskoye-shosse-69,3,6,1440,720,Kashirskoe shosse; 69,348493,5,1728,14,53477415,Tsifrovoj bilbord,24892.36,393.3,2.881,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13548.64,1785343,131.77,16494.21,694.44,1.4,693.05,8160761.58,916.35
Moskva041,/moskva/yuzhnyy-ao,Moskva,Juzhnyj AO,Juzhnyj AO,/moskva/kashirskoye-shosse-19,3,6,1440,720,Kashirskoe shosse; 19,269796,5,1728,14,53477415,Tsifrovoj bilbord,19271.14,304.48,2.23,0.035,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13548.64,1785343,131.77,16494.21,694.44,1.81,692.64,6310344.91,916.35
Moskva042,/moskva/yuzhnyy-ao,Moskva,Juzhnyj AO,Juzhnyj AO,/moskva/kashirskoye-shosse-32,3,6,1440,720,Kashirskoe shosse; 32,255624,5,1728,14,53477415,Tsifrovoj bilbord,18258.86,288.49,2.113,0.033,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13548.64,1785343,131.77,16494.21,694.44,1.91,692.54,5977219.91,916.35
Moskva043,/moskva/yuzhnyy-ao,Moskva,Juzhnyj AO,Juzhnyj AO,/moskva/kashirskoye-shosse-49,3,6,1440,720,Kashirskoe shosse; 49,350055,5,1728,14,53477415,Tsifrovoj bilbord,25003.93,395.06,2.894,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13548.64,1785343,131.77,16494.21,694.44,1.39,693.05,8197428.25,916.35
Moskva044,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/komsomolskiy-37,3,6,1440,720,Komsomol'skij; 37,284835,5,1728,14,53477415,Tsifrovoj bilbord,20345.36,321.46,2.355,0.037,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.71,692.73,6664094.91,916.35
Moskva045,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/korovinskoye-shosse-16,3,6,1440,720,Korovinskoe shosse; 16,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva046,/moskva/severo-vostochnyy-ao,Moskva,Severo-Vostochnyj AO,Severo-Vostochnyj AO,/moskva/koroleva-akademika-12-19,3,6,1440,720,Koroleva Akademika; 12-19,279635,5,1728,14,53477415,Tsifrovoj bilbord,19973.93,315.59,2.312,0.037,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13976.38,1423956,101.88,16494.21,694.44,1.74,692.7,6541803.25,916.35
Moskva047,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-slavyanskiy-bulvar-1,3,6,1440,720,Kutuzovskij (Slavjanskij bul'var; 1),343277,5,1728,14,53477415,Tsifrovoj bilbord,24519.79,387.41,2.838,0.045,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.42,693.03,8038053.25,916.35
Moskva048,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-1-7,3,6,1440,720,Kutuzovskij; 1/7,352276,5,1728,14,53477415,Tsifrovoj bilbord,25162.57,397.57,2.912,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.38,693.06,8249719.91,916.35
Moskva049,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-14,3,6,1440,720,Kutuzovskij; 14,327538,5,1728,14,53477415,Tsifrovoj bilbord,23395.57,369.65,2.708,0.043,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.49,692.96,7668053.25,916.35
Moskva050,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-st-m-park-pobedy,3,6,1440,720,Kutuzovskij (st.m. "Park Pobedy"),517095,5,1728,14,53477415,Tsifrovoj bilbord,36935.36,583.58,4.275,0.068,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,0.94,693.5,12124928.25,916.35
Moskva051,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-46,3,6,1440,720,Kutuzovskij; 46,517095,5,1728,14,53477415,Tsifrovoj bilbord,36935.36,583.58,4.275,0.068,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,0.94,693.5,12124928.25,916.35
Moskva052,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-45,3,6,1440,720,Kutuzovskij; 45,511113,5,1728,14,53477415,Tsifrovoj bilbord,36508.07,576.83,4.225,0.067,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,0.95,693.49,11984303.25,916.35
Moskva053,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/kutuzovskiy-52,3,6,1440,720,Kutuzovskij; 52,503614,5,1728,14,53477415,Tsifrovoj bilbord,35972.43,568.36,4.163,0.066,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,0.97,693.48,11807844.91,916.35
Moskva054,/moskva/fili-davydkovo,Moskva,Zapadnyj AO,Fili-Davydkovo,/moskva/kutuzovskiy-86,3,6,1440,720,Kutuzovskij; 86,327538,5,1728,14,53477415,Tsifrovoj bilbord,23395.57,369.65,2.708,0.043,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.49,692.96,7668053.25,916.35
Moskva055,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskiy-68-72,3,6,1440,720,Leningradskij; 68-72,352276,5,1728,14,53477415,Tsifrovoj bilbord,25162.57,397.57,2.912,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.38,693.06,8249719.91,916.35
Moskva056,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskoye-shosse-110,3,6,1440,720,Leningradskoe shosse; 110,327538,5,1728,14,53477415,Tsifrovoj bilbord,23395.57,369.65,2.708,0.043,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.49,692.96,7668053.25,916.35
Moskva057,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskoye-shosse-21,3,6,1440,720,Leningradskoe shosse; 21,463167,5,1728,14,53477415,Tsifrovoj bilbord,33083.36,522.72,3.829,0.06,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.05,693.39,10857011.58,916.35
Moskva058,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskoye-shosse-50,3,6,1440,720,Leningradskoe shosse; 50,350055,5,1728,14,53477415,Tsifrovoj bilbord,25003.93,395.06,2.894,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.39,693.05,8197428.25,916.35
Moskva059,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskoye-shosse-64,3,6,1440,720,Leningradskoe shosse; 64,444485,5,1728,14,53477415,Tsifrovoj bilbord,31748.93,501.63,3.675,0.058,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.1,693.35,10417636.58,916.35
Moskva060,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskoye-shosse-9-1,3,6,1440,720,Leningradskoe shosse 9/1,355276,5,1728,14,53477415,Tsifrovoj bilbord,25376.86,400.95,2.937,0.046,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.37,693.07,8320136.58,916.35
Moskva061,/moskva/severnyy-ao,Moskva,Severnyj AO,Severnyj AO,/moskva/leningradskoye-shosse-46,3,6,1440,720,Leningradskoe shosse; 46,327538,5,1728,14,53477415,Tsifrovoj bilbord,23395.57,369.65,2.708,0.043,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10346.02,1176611,113.73,16494.21,694.44,1.49,692.96,7668053.25,916.35
Moskva062,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/leninskiy-131-g,3,6,1440,720,Leninskij; 131 G,376201,5,1728,14,53477415,Tsifrovoj bilbord,26871.5,424.57,3.11,0.049,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.29,693.15,8812219.91,916.35
Moskva063,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/leninskiy-60-letiya-oktyabrya,3,6,1440,720,Leninskij - 60-letija Oktjabrja,337342,5,1728,14,53477415,Tsifrovoj bilbord,24095.86,380.71,2.789,0.044,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.44,693.0,7898469.91,916.35
Moskva064,/moskva/ramenki,Moskva,Zapadnyj AO,Ramenki,/moskva/lomonosovskiy-27-4,3,6,1440,720,Lomonosovskij; 27/4,298378,5,1728,14,53477415,Tsifrovoj bilbord,21312.71,336.74,2.467,0.039,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.63,692.81,6982428.25,916.35
Moskva065,/moskva/yugo-vostochnyy-ao,Moskva,Jugo-Vostochnyj AO,Jugo-Vostochnyj AO,/moskva/lyublinskaya-151,3,6,1440,720,Ljublinskaja; 151,263104,5,1728,14,53477415,Tsifrovoj bilbord,18793.14,296.93,2.175,0.034,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11956.9,1405650,117.56,16494.21,694.44,1.85,692.59,6153053.25,916.35
Moskva066,/moskva/yugo-vostochnyy-ao,Moskva,Jugo-Vostochnyj AO,Jugo-Vostochnyj AO,/moskva/lyublinskaya-4-b,3,6,1440,720,Ljublinskaja; 4 B,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11956.9,1405650,117.56,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva067,/moskva/yugo-vostochnyy-ao,Moskva,Jugo-Vostochnyj AO,Jugo-Vostochnyj AO,/moskva/lyublinskaya-50-1,3,6,1440,720,Ljublinskaja; 50/1,283337,5,1728,14,53477415,Tsifrovoj bilbord,20238.36,319.77,2.342,0.037,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11956.9,1405650,117.56,16494.21,694.44,1.72,692.73,6628886.58,916.35
Moskva068,/moskva/zapadnyy-ao,Moskva,Zapadnyj AO,Zapadnyj AO,/moskva/minskaya-2,3,6,1440,720,Minskaja; 2,302120,5,1728,14,53477415,Tsifrovoj bilbord,21580.0,340.96,2.498,0.039,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.61,692.83,7070344.91,916.35
Moskva069,/moskva/severo-vostochnyy-ao,Moskva,Severo-Vostochnyj AO,Severo-Vostochnyj AO,/moskva/mira-105,3,6,1440,720,Mira; 105,347810,5,1728,14,53477415,Tsifrovoj bilbord,24843.57,392.53,2.875,0.045,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13976.38,1423956,101.88,16494.21,694.44,1.4,693.04,8144719.91,916.35
Moskva070,/moskva/severo-vostochnyy-ao,Moskva,Severo-Vostochnyj AO,Severo-Vostochnyj AO,/moskva/mira-150,3,6,1440,720,Mira; 150,338839,5,1728,14,53477415,Tsifrovoj bilbord,24202.79,382.4,2.801,0.044,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13976.38,1423956,101.88,16494.21,694.44,1.44,693.01,7933678.25,916.35
Moskva071,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/mira-69,3,6,1440,720,Mira; 69,360587,5,1728,14,53477415,Tsifrovoj bilbord,25756.21,406.95,2.981,0.047,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.35,693.09,8445136.58,916.35
Moskva072,/moskva/ramenki,Moskva,Zapadnyj AO,Ramenki,/moskva/michurinskiy-8-tsrp,3,6,1440,720,Michurinskij; 8 (TsRP),327538,5,1728,14,53477415,Tsifrovoj bilbord,23395.57,369.65,2.708,0.043,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.49,692.96,7668053.25,916.35
Moskva073,/moskva/troparevo-nikulino,Moskva,Zapadnyj AO,Troparevo-Nikulino,/moskva/michurinskiy-olimpiyskoy-derevni-21,3,6,1440,720,Michurinskij - Olimpijskoj derevni; 21,291530,5,1728,14,53477415,Tsifrovoj bilbord,20823.57,329.01,2.41,0.038,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.67,692.77,6821386.58,916.35
Moskva074,/moskva/ramenki,Moskva,Zapadnyj AO,Ramenki,/moskva/michurinskiy-3,3,6,1440,720,Michurinskij; 3,268393,5,1728,14,53477415,Tsifrovoj bilbord,19170.93,302.9,2.219,0.035,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.82,692.63,6277428.25,916.35
Moskva075,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/nametkina-9,3,6,1440,720,Nametkina; 9,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva076,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/nizhegorodskaya-15-15-a,3,6,1440,720,Nizhegorodskaja; 15-15 A,273603,5,1728,14,53477415,Tsifrovoj bilbord,19543.07,308.78,2.262,0.036,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.78,692.66,6399928.25,916.35
Moskva077,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/novoslobodskaya-62-1,3,6,1440,720,Novoslobodskaja; 62/1,291530,5,1728,14,53477415,Tsifrovoj bilbord,20823.57,329.01,2.41,0.038,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.67,692.77,6821386.58,916.35
Moskva078,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/novospasskiy-9,3,6,1440,720,Novospasskij; 9,266889,5,1728,14,53477415,Tsifrovoj bilbord,19063.5,301.2,2.206,0.035,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.83,692.62,6242011.58,916.35
Moskva079,/moskva/shchukino,Moskva,Severo-Zapadnyj AO,Schukino,/moskva/novoshchukinskaya-3,3,6,1440,720,Novoschukinskaja; 3,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,10734.73,1001346,93.28,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva080,/moskva/ochakovo-matveyevskoye,Moskva,Zapadnyj AO,Ochakovo-Matveevskoe,/moskva/ozernaya-37,3,6,1440,720,Ozernaja; 37,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,9034.03,1382516,153.03,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva081,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/olimpiyskiy-13,3,6,1440,720,Olimpijskij; 13,271349,5,1728,14,53477415,Tsifrovoj bilbord,19382.07,306.24,2.243,0.035,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.8,692.65,6347011.58,916.35
Moskva082,/moskva/tsentralnyy-ao,Moskva,Tsentral'nyj AO,Tsentral'nyj AO,/moskva/olimpiyskiy-18-1,3,6,1440,720,Olimpijskij; 18/1,259341,5,1728,14,53477415,Tsifrovoj bilbord,18524.36,292.68,2.144,0.034,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,11724.6,775881,66.18,16494.21,694.44,1.88,692.57,6064511.58,916.35
Moskva083,/moskva/severo-vostochnyy-ao,Moskva,Severo-Vostochnyj AO,Severo-Vostochnyj AO,/moskva/ostashkovskaya-25-shirokaya,3,6,1440,720,Ostashkovskaja; 25 - Shirokaja,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13976.38,1423956,101.88,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva084,/moskva/yuzhnyy-ao,Moskva,Juzhnyj AO,Juzhnyj AO,/moskva/proletarskiy-1,3,6,1440,720,Proletarskij; 1,245167,5,1728,14,53477415,Tsifrovoj bilbord,17511.93,276.69,2.027,0.032,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,13548.64,1785343,131.77,16494.21,694.44,1.99,692.46,5731386.58,916.35
Moskva085,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/profsoyuznaya-98,3,6,1440,720,Profsojuznaja; 98,341876,5,1728,14,53477415,Tsifrovoj bilbord,24419.71,385.83,2.826,0.045,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.42,693.02,8005136.58,916.35
Moskva086,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/profsoyuznaya-144,3,6,1440,720,Profsojuznaja; 144,359839,5,1728,14,53477415,Tsifrovoj bilbord,25702.79,406.1,2.975,0.047,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.35,693.09,8427428.25,916.35
Moskva087,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/profsoyuznaya-21,3,6,1440,720,Profsojuznaja; 21,298323,5,1728,14,53477415,Tsifrovoj bilbord,21308.79,336.68,2.466,0.039,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.63,692.81,6981178.25,916.35
Moskva088,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/profsoyuznaya-46,3,6,1440,720,Profsojuznaja; 46,341813,5,1728,14,53477415,Tsifrovoj bilbord,24415.21,385.76,2.826,0.045,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.43,693.02,8003678.25,916.35
Moskva089,/moskva/yugo-zapadnyy-ao,Moskva,Jugo-Zapadnyj AO,Jugo-Zapadnyj AO,/moskva/profsoyuznaya-62,3,6,1440,720,Profsojuznaja; 62,276581,5,1728,14,53477415,Tsifrovoj bilbord,19755.79,312.14,2.287,0.036,18.0,6.71,264.1,1036800.0,1609.97,6.1,57600.0,12906.01,1437242,111.36,16494.21,694.44,1.76,692.68,6469928.25,916.35
