article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total,sum_1_m
Vladivostok005,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/nekrasovskaya-52a,5,4,480,384,Nekrasovskaja; 52A,9901,10,240,7,53477215,Svetodiodnyj ekran,1414.43,22.35,0.589,0.009,20.0,6.4,252.09,184320.0,614.7,2.44,9216.0,1787.86,592069,331.16,75732.5,694.44,112.95,581.5,314160.0,3786.62
Vladivostok007,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/okeanskiy-16-tts-izumrud-plaza,5,3.8,320,240,Okeanskij; 16 (TTs "Izumrud Plaza"),12474,10,216,7,53477215,Svetodiodnyj ekran,1782.0,28.16,0.825,0.013,19.0,6.28,247.25,76800.0,400.0,1.62,4042.11,1787.86,592069,331.16,71945.88,694.44,85.16,609.28,442774.92,3786.62
Vladivostok008,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/fontannaya-28,5,3.8,320,240,Fontannaja; 28,8253,10,216,7,53477215,Svetodiodnyj ekran,1179.0,18.63,0.546,0.009,19.0,6.28,247.25,76800.0,400.0,1.62,4042.11,1787.86,592069,331.16,71945.88,694.44,128.73,565.72,244233.25,3786.62
Vladivostok010,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/admirala-yumasheva-7b-gm-tri-kota,5,3.8,320,240,Admirala Jumasheva; 7B (GM "Tri kota"),9282,10,216,7,53477215,Svetodiodnyj ekran,1326.0,20.95,0.614,0.01,19.0,6.28,247.25,76800.0,400.0,1.62,4042.11,1787.86,592069,331.16,71945.88,694.44,114.47,579.97,292566.58,3786.62
Vladivostok011,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/vyselkovaya-8v-rudnevskiy-most,5,3.8,320,240,Vyselkovaja 8V (Rudnevskij most),9282,10,216,7,53477215,Svetodiodnyj ekran,1326.0,20.95,0.614,0.01,19.0,6.28,247.25,76800.0,400.0,1.62,4042.11,1787.86,592069,331.16,71945.88,694.44,114.47,579.97,292566.58,3786.62
Vladivostok018,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/russkaya-44-tts-universam,3,6,1280,720,Russkaja; 44 (TTs "Universam"),12670,10,192,7,53477215,Svetodiodnyj ekran,1810.0,28.6,0.943,0.015,18.0,6.71,264.1,921600.0,1468.6,5.56,51200.0,1787.86,592069,331.16,26158.5,694.44,30.49,663.96,543516.33,1453.25
Vladivostok019,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/cheremukhovaya-15-trts-cheremushki,3,6,1280,720,Cheremuhovaja; 15 (TRTs "Cheremushki"),12670,10,192,7,53477215,Svetodiodnyj ekran,1810.0,28.6,0.943,0.015,18.0,6.71,264.1,921600.0,1468.6,5.56,51200.0,1787.86,592069,331.16,26158.5,694.44,30.49,663.96,543516.33,1453.25
Vladivostok023,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/okeanskiy-35,6,3,1152,576,Okeanskij; 35,14750,10,360,7,53477215,Svetodiodnyj ekran,2107.14,33.29,0.585,0.009,18.0,6.71,264.1,663552.0,1287.98,4.88,36864.0,1787.86,592069,331.16,26158.5,694.44,26.19,668.25,641224.67,1453.25
Vladivostok025,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/neftevetka-8,14,4,1440,480,Neftevetka; 8,45560,7.5,1080,7,53477615,Tsifrovoj supersajt,6508.57,102.84,0.804,0.013,56.0,14.56,573.24,691200.0,1517.89,2.65,12342.86,1787.86,592069,331.16,86800.0,694.44,28.13,666.31,1968900.0,1550.0
Vladivostok026,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/lazo-28-storona-a,15,5,1440,480,Lazo; 28 (storona A),40875,7.5,1080,7,53477615,Tsifrovoj supersajt,5839.29,92.26,0.721,0.011,75.0,15.81,622.5,691200.0,1517.89,2.44,9216.0,1787.86,592069,331.16,283996.88,694.44,102.61,591.84,1354089.58,3786.62
