href,name
/moskva/yuzhnyy-ao,Juzhnyj AO
/moskva/zapadnyy-ao,Zapadnyj AO
/nizhegorodskaya-oblast,Nizhegorodskaja oblast'
/nizhegorodskaya-oblast/nizhniy-novgorod,Nizhnij Novgorod
/novosibirskaya-oblast,Novosibirskaja oblast'
/novosibirskaya-oblast/novosibirsk,Novosibirsk
/omskaya-oblast,Omskaja oblast'
/omskaya-oblast/omsk,Omsk
/permskiy-kray,Permskij kraj
/permskiy-kray/perm,Perm'
/primorskiy-kray,Primorskij kraj
/primorskiy-kray/vladivostok,Vladivostok
/respublika-mordovia,Respublika Mordovija
/respublika-mordovia/saransk,Saransk
/respublika-tatarstan,Respublika Tatarstan
/respublika-tatarstan/kazan,Kazan'
/rostovskaya-oblast,Rostovskaja oblast'
/rostovskaya-oblast/rostov-na-donu,Rostov-na-Donu
/rostovskaya-oblast/taganrog,Taganrog
/samarskaya-oblast,Samarskaja oblast'
/samarskaya-oblast/samara,Samara
/saratovskaya-oblast/engels,Engel's
/saratovskaya-oblast/saratov,Saratov
/shop/folder/bor,Bor
/shop/folder/kulebaki,Kulebaki
/shop/folder/pavlovo,Pavlovo
/shop/folder/pervomaysk,Pervomajsk
/shop/folder/saratovskaya-oblast,Saratovskaja oblast'
/shop/folder/uryupinsk,Urjupinsk
/shop/folder/volzhskiy,Volzhskij
/smolenskaya-oblast,Smolenskaja oblast'
/smolenskaya-oblast/smolensk,Smolensk
/sverdlovskaya-oblast,Sverdlovskaja oblast'
/sverdlovskaya-oblast/yekaterinburg,Ekaterinburg
/sverdlovskaya-oblast/zarechnyy,Zarechnyj
/tverskaya-oblast,Tverskaja oblast'
/tverskaya-oblast/tver,Tver'
/tyumen-region,Tjumenskaja oblast'
/tyumen-region/gubkinskiy,Gubkinskij
/tyumen-region/khanty-mansiysk,Hanty-Mansijsk
/tyumen-region/kogalym,Kogalym
/tyumen-region/langepas,Langepas
/tyumen-region/nadym,Nadym
/tyumen-region/nizhnevartovsk,Nizhnevartovsk
/tyumen-region/novyy-urengoy,Novyj Urengoj
/tyumen-region/noyabrsk,Nojabr'sk
/tyumen-region/nyagan,Njagan'
/tyumen-region/salekhard,Salehard
/tyumen-region/surgut,Surgut
/tyumen-region/tobolsk,Tobol'sk
/tyumen-region/tyumen,Tjumen'
/tyumen-region/uray,Uraj
/vladimirskaya-oblast,Vladimirskaja oblast'
/vladimirskaya-oblast/vladimir,Vladimir
/volgogradskaya-oblast,Volgogradskaja oblast'
/volgogradskaya-oblast/volgograd,Volgograd
/voronezhskaya-oblast,Voronezhskaja oblast'
/voronezhskaya-oblast/voronezh,Voronezh
/yaroslavskaya-oblast,Jaroslavskaja oblast'
/yaroslavskaya-oblast/yaroslavl,Jaroslavl'
