option_code,name,base_local,n_level,level
Nagatino-Sadovniki,186141815, Nagatino-Sadovniki, Juzhnyj AO,3,»»

Nagatinskij zaton,186108415, Nagatinskij zaton, Juzhnyj AO,3,»»

Nagornyj,186184415, Nagornyj, Juzhnyj AO,3,»»

Nadym,193112615, Nadym, Nadym,2,»

Nizhegorodskaja oblast',517461241,Nizhegorodskaja oblast',Nizhegorodskaja oblast',2,»

Nizhegorodskij,186122815, Nizhegorodskij, Jugo-Vostochnyj AO,3,»»

Nizhnevartovsk,487372441, Nizhnevartovsk, Nizhnevartovsk,2,»

Nizhnij Novgorod,517467441, Nizhnij Novgorod, Nizhnij Novgorod,2,»

Novo-Peredelkino,186109615, Novo-Peredelkino, Zapadnyj AO,3,»»

Novogireevo,186141415, Novogireevo, Vostochnyj AO,3,»»

Novoivanovskoe,190877015, Novoivanovskoe, Novoivanovskoe,2,»

Novosibirsk,31214615, Novosibirsk, Novosibirsk,2,»

Novosibirskaja oblast',31214415,Novosibirskaja oblast',Novosibirskaja oblast',2,»

Novyj Urengoj,487372641, Novyj Urengoj, Novyj Urengoj,2,»

Nojabr'sk,487073241, Nojabr'sk, Nojabr'sk,2,»

Njagan',515241841, Njagan', Njagan',2,»

Obruchevskij,186148015, Obruchevskij, Jugo-Zapadnyj AO,3,»»

Omsk,30170415, Omsk, Omsk,2,»

Omskaja oblast',30170215,Omskaja oblast',Omskaja oblast',2,»

Orehovo-Borisovo Juzhnoe,186151815, Orehovo-Borisovo Juzhnoe, Juzhnyj AO,3,»»

Ostankinskij,186142415, Ostankinskij, Severo-Vostochnyj AO,3,»»

Otradnoe,186107815, Otradnoe, Severo-Vostochnyj AO,3,»»

Ochakovo-Matveevskoe,186147215, Ochakovo-Matveevskoe, Zapadnyj AO,3,»»

Pavlovo,29563215, Pavlovo, Pavlovo,2,»

Pervomajsk,29609415, Pervomajsk, Pervomajsk,2,»

Permskij kraj,464758815,Permskij kraj,Permskij kraj,2,»

Perm',464759015, Perm', Perm',2,»

Perovo,186141215, Perovo, Vostochnyj AO,3,»»

Pechatniki,186154415, Pechatniki, Jugo-Vostochnyj AO,3,»»

Podol'sk,70818615, Podol'sk, Podol'sk,2,»

Pokrovskoe-Streshnevo,186124615, Pokrovskoe-Streshnevo, Severo-Zapadnyj AO,3,»»

Pravdinskij,190886615, Pravdinskij, Pravdinskij,2,»

Preobrazhenskoe,186150615, Preobrazhenskoe, Vostochnyj AO,3,»»

Presnenskij,186141015, Presnenskij, Tsentral'nyj AO,3,»»

Primorskij kraj,34625015,Primorskij kraj,Primorskij kraj,2,»

Prospekt Vernadskogo,186115415, Prospekt Vernadskogo, Zapadnyj AO,3,»»

Putilkovo,186186815, Putilkovo, Putilkovo,2,»

