ppi
0.66
0.68
0.7
0.77
0.88
0.96
1.02
1.04
1.11
1.16
1.22
1.27
1.31
1.37
1.39
1.4
1.44
1.52
1.56
1.57
1.58
1.59
1.6
1.61
1.62
1.63
1.64
1.71
1.75
1.82
1.84
1.86
1.88
1.9
1.91
1.92
1.95
1.96
1.99
12.19
2.01
2.02
2.03
2.09
2.16
2.17
2.18
2.22
2.24
2.25
2.29
2.34
2.35
2.36
2.37
2.38
2.39
2.41
2.43
2.44
2.45
2.49
2.5
2.52
2.53
2.54
2.55
2.56
2.57
2.58
2.59
2.6
2.62
2.63
2.64
2.65
2.8
2.82
2.9
2.93
2.94
2.96
2.99
3.05
3.08
3.1
3.17
3.18
3.2
3.21
3.23
3.25
3.26
3.28
3.31
3.35
3.4
3.58
3.6
3.65
3.66
3.68
3.81
3.84
3.96
3.99
4.06
4.27
4.31
4.33
4.54
4.68
4.78
4.88
4.89
4.99
5.12
5.29
5.56
6.1
6.46
6.5
7.32
8.29
8.3
8.64
9.78
9.85
