option_code,name,base_local,n_level,level
Останкинский,186142415, Останкинский, Северо-Восточный АО,3,»»

Отрадное,186107815, Отрадное, Северо-Восточный АО,3,»»

Очаково-Матвеевское,186147215, Очаково-Матвеевское, Западный АО,3,»»

Павлово,29563215, Павлово, Павлово,2,»

Первомайск,29609415, Первомайск, Первомайск,2,»

Пермский край,464758815,Пермский край,Пермский край,2,»

Пермь,464759015, Пермь, Пермь,2,»

Перово,186141215, Перово, Восточный АО,3,»»

Печатники,186154415, Печатники, Юго-Восточный АО,3,»»

Подольск,70818615, Подольск, Подольск,2,»

Покровское-Стрешнево,186124615, Покровское-Стрешнево, Северо-Западный АО,3,»»

Правдинский,190886615, Правдинский, Правдинский,2,»

Преображенское,186150615, Преображенское, Восточный АО,3,»»

Пресненский,186141015, Пресненский, Центральный АО,3,»»

Приморский край,34625015,Приморский край,Приморский край,2,»

Проспект Вернадского,186115415, Проспект Вернадского, Западный АО,3,»»

Путилково,186186815, Путилково, Путилково,2,»

Пушкино,186153015, Пушкино, Пушкино,2,»

Раздоры,186541015, Раздоры, Раздоры,2,»

Раменки,186113615, Раменки, Западный АО,3,»»

Республика Мордовия,71557615,Республика Мордовия,Республика Мордовия,2,»

Республика Татарстан,72829815,Республика Татарстан,Республика Татарстан,2,»

Ростов-на-Дону,28093615, Ростов-на-Дону, Ростов-на-Дону,2,»

Ростовская область,28093415,Ростовская область,Ростовская область,2,»

Ростокино,186144815, Ростокино, Северо-Восточный АО,3,»»

Рязанский,186152615, Рязанский, Юго-Восточный АО,3,»»

Савеловский,186150215, Савеловский, Северный АО,3,»»

Салехард,487371841, Салехард, Салехард,2,»

Самара,28494215, Самара, Самара,2,»

Самарская область,28494015,Самарская область,Самарская область,2,»

Санкт Петербург,64235015,Санкт Петербург,Санкт Петербург,2,»

Саранск,71558215, Саранск, Саранск,2,»

Саратов,348527015, Саратов, Саратов,2,»

Саратовская область,348526615,Саратовская область,Саратовская область,2,»

Свердловская область,504950641,Свердловская область,Свердловская область,2,»

Свиблово,186167815, Свиблово, Северо-Восточный АО,3,»»

Северный АО,186532215, Северный АО, Северный АО,2,»

Северо-Восточный АО,186532615, Северо-Восточный АО, Северо-Восточный АО,2,»

Северо-Западный АО,186534815, Северо-Западный АО, Северо-Западный АО,2,»

Смоленск,70386215, Смоленск, Смоленск,2,»

Смоленская область,70385815,Смоленская область,Смоленская область,2,»

Сокол,186153215, Сокол, Северный АО,3,»»

Соколиная Гора,186149215, Соколиная Гора, Восточный АО,3,»»

Солнечногорск,186186415, Солнечногорск, Солнечногорск,2,»

Солнцево,186109415, Солнцево, Западный АО,3,»»

Сочи,70597815, Сочи, Сочи,2,»

Строгино,186149815, Строгино, Северо-Западный АО,3,»»

Ступино,190887415, Ступино, Ступино,2,»

Сургут,466103841, Сургут, Сургут,2,»

Таганрог,69269415, Таганрог, Таганрог,2,»

Таганский,186124015, Таганский, Центральный АО,3,»»

Тверская область,409022615,Тверская область,Тверская область,2,»

Тверской,186146815, Тверской, Центральный АО,3,»»

Тверь,409022815, Тверь, Тверь,2,»

Текстильщики,186123615, Текстильщики, Юго-Восточный АО,3,»»

