2.5,1007.5,765,1250,1
4.81,850.0,700,1000,3
4.81,605.5,603,608,4
8,418.0,388,448,5
3,1250.0,1000,1500,6
2.9,1500.0,1000,2000,7
2.6,1600.0,1500,1700,8
4,1538.0,1288,1788,9
4.81,577.0,525,629,13
2.5,1139.0,789,1489,14
3.91,900.0,600,1200,17
4.81,234.0,99,369,18
3.91,685.0,470,900,19
1.25,6500.0,6000,7000,20
5.95,464.19,157.78,770.61,25
10,475.0,350,600,26
16,476.5,418,535,27
8,2319.0,438,4200,29
