pix,price_sec
1024000512,1.33
1024000512,2.81
1024000512,2.81
1024000512,1.33
1024000512,1.92
1024000512,1.33
1024000512,1.33
1024000512,1.33
1024000512,1.33
1024000512,1.33
1024000512,1.33
1024000512,1.33
1024000512,1.92
1024000512,1.33
1024000512,1.33
1024000512,1.92
1024000512,1.33
1024000512,1.33
1024000512,1.85
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.19
1024000512,1.3
1024000512,2.74
1024000512,2.73
1024000640,3.78
1024000768,7.21
1024000768,7.21
1024000768,7.21
1024000768,7.21
1024000768,7.21
1024000768,7.21
1024000768,7.21
1024000768,7.21
1024000768,9.3
1026000342,4.86
1026000342,4.86
1026000342,6.94
1026000342,6.94
1026000342,4.47
1056000480,4.44
1140000480,6.05
1152000288,2.24
1152000384,5.26
1152000640,5.81
1152000864,12.2
1152000384,3.33
1152000384,3.33
1152000384,3.33
1152000384,3.33
1152000384,3.33
1152000384,3.33
1152000384,3.33
1152000576,4.44
1152000576,4.1
1152000576,1.17
1152000864,8.45
1200000480,2.61
1200000480,1.69
1200000480,2.61
1200000480,1.69
1200000480,4.01
1200000480,2.61
1200000480,1.69
1200000480,1.69
1200000480,1.69
1200000480,1.69
1200000480,2.61
1200000480,1.69
1200000480,1.1
1248000480,4.98
1248000880,76.05
1248000576,8.19
1280000576,2.24
1280000720,8.03
1280000768,3.33
1280000914,5
1280000720,6.6
1280000720,6.6
1280000720,4.01
144000320,2.89
144000720,7.19
1440000480,5.3
1440000576,23.45
1440000720,2.41
1440000720,9.8
1440000720,40.17
1440000720,28.38
1440000720,31.15
1440000720,31.41
1440000720,30.98
1440000720,28.38
1440000720,28.38
1440000720,28.89
1440000720,28.38
1440000720,36.63
1440000720,28.38
1440000720,35.91
1440000720,31.23
1440000720,30.02
1440000720,32.71
1440000720,31.42
1440000720,28.38
1440000720,34.36
1440000720,43.89
1440000720,47.28
1440000720,32.01
1440000720,32.01
1440000720,43.2
1440000720,40.6
1440000720,43.29
1440000720,28.38
1440000720,38.26
1440000720,42.77
1440000720,28.38
1440000720,28.38
1440000720,33.05
1440000720,34.7
1440000720,31.84
1440000720,37.3
1440000720,28.38
1440000720,32.37
1440000720,28.98
1440000720,28.38
1440000720,28.38
1440000720,40.33
1440000720,31.23
1440000720,29.59
1440000720,40.52
1440000720,32.97
1440000720,28.38
1440000720,32.37
1440000720,39.73
1440000720,40.77
1440000720,37.91
1440000720,59.85
1440000720,59.85
1440000720,59.16
1440000720,58.29
1440000720,37.91
1440000720,40.77
1440000720,37.91
1440000720,53.61
1440000720,40.52
1440000720,51.45
1440000720,41.12
1440000720,37.91
1440000720,43.54
1440000720,39.04
1440000720,34.53
1440000720,30.45
1440000720,28.38
1440000720,32.79
1440000720,34.97
1440000720,40.26
1440000720,39.22
1440000720,41.73
1440000720,37.91
1440000720,33.74
1440000720,31.06
1440000720,28.38
1440000720,31.67
1440000720,33.74
1440000720,30.89
1440000720,28.38
1440000720,28.38
1440000720,31.41
1440000720,30.02
1440000720,28.38
1440000720,28.38
1440000720,39.57
1440000720,41.65
1440000720,34.53
1440000720,39.56
1440000720,32.01
1440000720,35.91
1440000720,32.02
1440000720,30.19
1440000720,30.19
1440000720,36.35
1440000720,28.38
1440000720,31.41
1440000720,39.04
1440000720,28.38
1440000720,28.38
1440000720,28.38
1440000720,34.01
1440000720,28.38
1440000720,46.15
1440000720,46.66
1440000720,45.28
1440000720,38.52
1440000720,39.57
1440000720,41.47
1440000720,39.22
1440000720,28.38
1440000720,28.38
1440000720,28.38
1440000720,30.02
1440000720,34.61
1440000720,34.01
1440000720,3.43
1440000864,5.91
1440000480,6.03
1440000480,5.41
1440000480,5.41
1440000720,1.36
1536000672,5.71
1536000704,8.68
160000240,2.97
1600000840,5.56
1728000864,2.75
1728000864,2.75
1728000864,8.62
1728000864,10.71
1728000864,10.71
