subiekt,plotn,tchel,km2,fo,nn,region
Tver',2652.25,403726,152.22,Tsentral'nyj,952,Tverskaja oblast'
Tobol'sk,416.61,99698,239.309,Ural'skij,962,Tjumenskaja oblast'
Tol'jatti,2285.6,719484,314.79,Privolzhskij,964,Samarskaja oblast'
Tomsk,1759.56,522940,297.2,Sibirskij,967,Tomskaja oblast'
Troitsk,565.12,78637,139.15,Ural'skij,974,Cheljabinskaja oblast'
Tula,3437.1,501129,145.8,Tsentral'nyj,978,Tul'skaja oblast'
Tjumen',833.46,581758,698,Ural'skij,986,Tjumenskaja oblast'
Ulan-Ude,1145.32,431922,377.12,Sibirskij,994,Burjatija
Ul'janovsk,981.28,613793,625.5,Privolzhskij,995,Ul'janovskaja oblast'
Ussurijsk,913.62,157946,172.88,Dal'nevostochnyj,1006,Primorskij kraj
Ufa,1517.57,1062300,700,Privolzhskij,1013,Bashkortostan
Habarovsk,1486.02,577668,388.735,Dal'nevostochnyj,1024,Habarovskij kraj
Hanty-Mansijsk,235.11,79410,337.76,Ural'skij,1026,Hanty-Mansijskij AO - Jugra
Himki,1879.54,207125,110.2,Tsentral'nyj,1032,Moskovskaja oblast'
Chapaevsk,362.54,72689,200.5,Privolzhskij,1041,Samarskaja oblast'
Cheboksary,4072.08,447929,110,Privolzhskij,1044,Chuvashija
Cheljabinsk,2253.47,1130273,501.57,Ural'skij,1047,Cheljabinskaja oblast'
Cherepovets,2582.36,312311,120.94,Severo-Zapadnyj,1051,Vologodskaja oblast'
Chita,606.67,323964,534,Sibirskij,1060,Zabajkal'skij kraj
Shadrinsk,447.68,77744,173.66,Ural'skij,1067,Kurganskaja oblast'
Shahty,1509.63,240152,159.08,Juzhnyj,1072,Rostovskaja oblast'
Engel's,1782.85,202838,113.772,Privolzhskij,1094,Saratovskaja oblast'
Juzhno-Sahalinsk,1103.65,181727,164.66,Dal'nevostochnyj,1098,Sahalinskaja oblast'
Jakutsk,2208.9,269486,122,Dal'nevostochnyj,1107,Jakutija
Jaroslavl',2874.08,591486,205.8,Tsentral'nyj,1113,Jaroslavskaja oblast'
