code,name
53477215,Светодиодный экран
53477415,Цифровой билборд
53477615,Цифровой суперсайт
53477815,Медиафасад
55564215,Цифровой сити-формат
62914215,Цифровой лайтпостер
62914415,Цифровой ситиборд
63164415,Цифровой пилларс
71709815,Цифровой суперборд
71838215,светодиодный экран
81876615,Цифровой формат
83609615,Медиаборд суперсайт
